name,follower_count,gender,sum(voteup_count),expertivity
Keegan Li,486,1,31,-0.08994659099999999
知乎用户,34,1,1,-0.10174044300000001
知乎用户,168,1,8,-0.098244035
知乎用户,9,1,0,-0.10239275699999999
林辉滨,10,1,6,-0.102366665
Ada,0,-1,0,-0.10262759099999999
陈日伟,17,1,0,-0.10218401699999999
hu wang,139,1,2,-0.09900072
小猴子的本命年,3,-1,0,-0.102549313
阿原,22,-1,210,-0.102053554
[已重置],1,0,0,-0.10260149800000001
王兴乐,15,-1,0,-0.102236202
少龙,868,1,101,-0.079979222
沧海,1201,1,1,-0.07129038900000001
陈佳琪,4,-1,9,-0.10252322
yycc,239,1,294,-0.096391461
司马懿,416990,1,484,10.77772195
skytraveler,109,1,0,-0.09978349800000001
机器之心,180482,-1,1958,4.6066154280000005
brightLamp,5,-1,13,-0.102497128
知乎用户,1,-1,0,-0.10260149800000001
RyuAsuka,71,1,0,-0.100775017
谦谦君子,60,1,3,-0.101062035
BECKHAM,2,-1,0,-0.102575405
欧西特,9,1,3,-0.10239275699999999
荷马全,187,1,4,-0.097748276
传习录,4,1,13,-0.10252322
朱一韬,14,-1,3,-0.102262294
知乎用户,18,1,1,-0.102157924
dumaomao,47,0,86,-0.101401239
tangyuyong,0,-1,0,-0.10262759099999999
zheng li,0,1,0,-0.10262759099999999
太阳猫,0,-1,0,-0.10262759099999999
知乎用户,5,1,2,-0.102497128
知乎用户,3,1,3,-0.102549313
Fan You,251,1,1,-0.09607835
忽一涛,21,1,1,-0.102079646
祝斌,10,1,0,-0.102366665
Justin,2,-1,0,-0.102575405
棋棋,9,0,2,-0.10239275699999999
杨培文,2845,1,160,-0.028394169
默默唯一啊,1,-1,0,-0.10260149800000001
张晓彤,32,0,5,-0.10179262800000001
知乎用户,41,1,12,-0.101557794
知乎用户,119,1,0,-0.09952257199999999
jade zhao,3,1,0,-0.102549313
冒霜霜,4,-1,0,-0.10252322
小快虾,554,1,0,-0.088172295
知乎用户,668,1,8,-0.08519774
知乎用户,155,0,4,-0.098583239
殷昊,20,1,1,-0.102105739
张子浩,14564,1,5,0.277384905
知乎用户,40,1,0,-0.101583887
kevinshuang,97,-1,4,-0.100096609
知乎用户,26,1,1,-0.10194918300000001
Alex Cui,69811,1,457,1.7189222830000002
孙付伟,314,1,2,-0.094434517
知乎用户,144,1,11,-0.098870258
mylife的无奈,2,-1,2,-0.102575405
知乎用户,375,0,12,-0.09284286900000001
知乎用户,7102,1,483,0.082681991
杨昆,96,1,2,-0.100122702
傅睿卿,4044,1,79,0.0028908479999999997
Zhao Aaron,287,1,2,-0.09513901699999999
知乎用户,19,-1,16,-0.10213183099999999
知乎用户,63,1,9,-0.100983757
宏源诚信,0,-1,0,-0.10262759099999999
九度,786,-1,310,-0.082118814
涮鱼座,4,1,0,-0.10252322
知乎用户,6744,1,234,0.073340843
Mr Li,0,-1,1,-0.10262759099999999
奈法,9,1,1,-0.10239275699999999
胡不知,21,1,63,-0.102079646
知乎用户,17,1,0,-0.10218401699999999
知乎用户,9,1,0,-0.10239275699999999
朱千里,20,1,12,-0.102105739
Hue,1,0,0,-0.10260149800000001
summerzhooo,37,0,13,-0.101662165
刘东,2,1,1,-0.102575405
Super Dreamwar,25,-1,2,-0.10197527599999999
Hellc,2137,1,1,-0.046867724000000006
施诗,34,0,18,-0.10174044300000001
肖智博,16423,1,40,0.32589103199999997
zer0,68,1,11,-0.10085329400000001
范星.xfanplus,1255,1,50,-0.069881389
知乎用户,51,1,47,-0.10129686800000001
知乎用户,82,1,7,-0.10048799800000001
刘文博,802,0,573,-0.081701333
毛晗宇,15,1,5,-0.102236202
C族生物,119,0,0,-0.09952257199999999
胖子不胖,32,1,65,-0.10179262800000001
汪汪汪,71,1,2,-0.100775017
zack,3248,1,120,-0.017878855
人邮异步社区,1812,-1,3,-0.055347815999999994
Gogoboom,8,-1,4,-0.10241885
Philippe,8,-1,2,-0.10241885
FANTASY SNAKE,2289,1,3,-0.04290165
vczh,793761,1,709,20.60865358
嘿-质子君,3,-1,0,-0.102549313
俺是紫龍吖,89,1,12,-0.10030535
魏铭晨,6,1,0,-0.102471035
游离自由正交基,166,1,3,-0.098296221
大狗,11,1,8,-0.10234057199999999
王新勇,6,1,0,-0.102471035
吴先僧,73,1,155,-0.100722831
sixue,10159,0,0,0.16244704199999999
曹振军,0,-1,0,-0.10262759099999999
苏小叶,51,0,17,-0.10129686800000001
AirChen,59,1,28,-0.10108812800000001
街头小默,62,1,4,-0.10100985
知乎用户,98,1,5,-0.100070517
猪猪专业户,798,1,50,-0.081805703
Wills,2,1,0,-0.102575405
wei1000,78,1,14,-0.100592369
黎博,44,1,1,-0.10147951699999999
知乎用户,1353,1,7,-0.067324315
Amy,0,0,5,-0.10262759099999999
huangleiesc,21,1,0,-0.102079646
ONE DAY,1,-1,2,-0.10260149800000001
Arbiter,2,1,0,-0.102575405
[已重置],1633,1,3,-0.060018389000000005
Tg124,1,0,1,-0.10260149800000001
郑胤,679,1,15,-0.084910721
谷歌神教,29,-1,30,-0.101870905
何鹏宇,9002,1,16,0.132257914
葡式蛋挞,293,1,7,-0.09498246099999999
Sosi,169,1,8,-0.098217943
李奕慷,165,1,20,-0.09832231300000001
Charles Xiao,1195,1,3,-0.071446944
只是因为情非得已,327,1,2,-0.09409531300000001
低级炼丹师,217,-1,3,-0.09696549800000001
谢丹,10140,1,8,0.161951283
朱军,211,1,31,-0.097122054
元峰,1585,1,124,-0.061270834
宋浩,39,1,0,-0.10160998
叛逆者,142933,1,629,3.6268647260000004
子建,8,-1,0,-0.10241885
知乎用户,8505,0,154,0.11928989599999999
杨益烦,116,1,11,-0.09960085
杨圣超,392,1,4,-0.092399295
知乎用户,101,0,5,-0.09999223900000001
李鸢,128,0,1,-0.099287739
沿途的笔记,42,1,6,-0.10153170199999999
许白,695,1,2,-0.08449324
费话员003,5,-1,12,-0.102497128
刘晨希,3,0,1,-0.102549313
江鹏,6,1,0,-0.102471035
知乎用户,41,1,3,-0.101557794
nic nic,71,1,14,-0.100775017
张德祥,183,1,1,-0.097852646
黄David,150,1,0,-0.09871370199999999
微尘不想写代码,132,1,7,-0.09918336900000001
autocyz,636,1,91,-0.086032703
知乎用户,14,1,3,-0.102262294
王谦,8,1,5,-0.10241885
知乎用户,959,0,24,-0.07760479599999999
知乎用户,4,1,0,-0.10252322
洞明练达,3167,1,83,-0.019992355
Liu Wei,157,1,15,-0.098531054
sheldon wong,44,1,23,-0.10147951699999999
知乎用户,8,0,1,-0.10241885
野生大西瓜,14,1,4,-0.102262294
bcbcb,58,-1,3,-0.10111422
力扣（LeetCode）,24181,-1,80,0.528317354
大把银子,4,-1,14,-0.10252322
Atman语言智能,58,-1,0,-0.10111422
